"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","uniprot_id","symbol"
"ENSG00000000003",1060.34224202099,-0.634782560463205,0.0643262713342382,-9.86816968085847,5.71987625444668e-23,4.92050949285874e-22,"A0A024RCI0","TSPAN6"
"ENSG00000000419",809.044402754502,-0.292212263451928,0.072294555040403,-4.041967798109,5.30045129545199e-05,0.000153367166110966,"O60762","DPM1"
"ENSG00000000457",350.223653167625,-0.243232162334172,0.102890388456706,-2.36399304135701,0.0180791521651208,0.0369255354203949,"Q8IZE3","SCYL3"
"ENSG00000000460",596.662449720309,-0.342306956785434,0.0794801208846643,-4.3068248132406,1.65614669952693e-05,5.04985840729302e-05,"A0A024R922","FIRRM"
"ENSG00000001036",1277.57115309494,0.0651605661240507,0.0578968369990652,1.12545986104738,0.260394217046077,0.3722100013922,"Q9BTY2","FUCA2"
"ENSG00000001084",806.032606074359,0.354389903490881,0.0696670068149396,5.08691157684249,3.63941408876504e-07,1.28152278843103e-06,"E1CEI4","GCLC"
"ENSG00000001167",1452.07346128957,-0.112656686170549,0.0588054960350128,-1.91575097170294,0.0553968010498801,0.100858000775604,"P23511","NFYA"
"ENSG00000001460",273.025567404527,0.648002351045369,0.117902217548728,5.49609977248779,3.88282883254472e-08,1.48423047786904e-07,"Q5TH74","STPG1"
"ENSG00000001461",592.224840537455,0.340168128282026,0.0833208946212018,4.08262693083791,4.45294763570834e-05,0.00012973444159712,"Q6P499","NIPAL3"
"ENSG00000001497",2070.03785609217,-0.0119971967832455,0.0474801966161351,-0.252677908649784,0.800517120382329,0.861431081204918,"Q9Y4W2","LAS1L"
"ENSG00000001561",817.527479970723,-0.503400807803294,0.0703057310676983,-7.16016745944314,8.0578567887105e-13,4.18403018620123e-12,"Q9Y6X5","ENPP4"
"ENSG00000001617",142.780133186711,0.694661482275102,0.160839709170363,4.31896753518318,1.56760837435424e-05,4.7903987449069e-05,"C9JPG5","SEMA3F"
"ENSG00000001626",3.41153678606107,0.539666257786829,1.18240206694181,0.456415184711774,0.648091448502775,0.745696627378854,"A0A024R730","CFTR"
"ENSG00000001629",2141.53898385545,-0.343597544688656,0.047796182784244,-7.18880723675536,6.53597722616117e-13,3.40952931195176e-12,"Q9P2G1","ANKIB1"
"ENSG00000001630",62.6745960834448,1.73931302455337,0.270171978228311,6.43779949334178,1.21217979967925e-10,5.48125159705708e-10,"A0A0C4DFL7","CYP51A1"
"ENSG00000001631",217.098570424098,-0.262753975965433,0.130969100476636,-2.00622875937295,0.0448318468079707,0.0837487250528977,"O00522","KRIT1"
"ENSG00000002016",306.255773920776,-0.4501929588095,0.108477633941469,-4.15009935644806,3.3233098725283e-05,9.81909672389552e-05,"P43351","RAD52"
"ENSG00000002079",6.60238192485999,-0.15502049316723,0.738309100194185,-0.209966927302477,0.833693485827904,0.886594247045552,NA,"MYH16"
"ENSG00000002330",498.874876341561,0.737598640050348,0.0934100238954045,7.89635425932736,2.8717970032594e-15,1.71026801875058e-14,"A0A024R562","BAD"
