"","High_1","High_2","Low_1","Low_2"
"ENSG00000000003",209.70511752533,238.931310259413,169.496932233742,197.573768525817
"ENSG00000000419",869.964794486271,978.225498954458,1025.05287588978,1084.67998920674
"ENSG00000000457",98.6236938856751,60.0006877781485,52.9117407502159,78.0416385676977
"ENSG00000000460",240.84944191028,282.860385239843,264.558703751079,313.15442311342
"ENSG00000000971",117.310288516645,156.430364564459,77.1255882121791,105.701966161312
"ENSG00000001084",1194.90391223592,1263.22876590066,1155.98701401743,964.159990405987
"ENSG00000001167",210.743261671495,242.145632818957,224.202291314474,274.627538250886
"ENSG00000001460",93.4329731548501,100.715440199035,86.093679864758,77.0537697250687
"ENSG00000001461",468.203009920415,496.077115022907,412.532216018632,396.135405894263
"ENSG00000001497",804.561713277876,894.653112406322,1173.02638815733,1114.31605448561
"ENSG00000001617",864.774073755446,640.721630202372,332.71620031068,268.700325195111
"ENSG00000001629",568.902992098421,555.006361947874,541.672735815769,501.837372055575
"ENSG00000001630",465.08857748192,596.792555221942,557.815300790411,625.320977384211
"ENSG00000001631",432.906108950805,414.647610181134,452.888628455238,395.147537051634
"ENSG00000002016",107.96699120116,79.2866231354106,85.1968706995002,85.9445893087304
"ENSG00000002079",13.495873900145,8.57152682544979,17.9361833051579,33.5875406493889
"ENSG00000002330",280.29891946455,270.003095001668,291.462978708816,268.700325195111
"ENSG00000002549",374.770036765565,493.934233316544,609.83023237537,572.96392872487
"ENSG00000002586",496.23290186687,536.791867443793,605.34618654908,610.502944744775
"ENSG00000002587",144.302036316935,155.358923711277,163.219268076937,171.889178617461
"ENSG00000002726",46.716486577425,38.5718707145241,0.896809165257896,5.92721305577451
"ENSG00000002745",18.68659463097,25.7145804763494,15.2457558093842,10.8665572689199
"ENSG00000002822",504.53805503619,593.578232662398,645.702598985685,598.648518633226
"ENSG00000002834",7952.18415962391,8238.30872011043,9265.83229544458,9231.6343343688
"ENSG00000002919",170.25563997106,207.859525517157,212.543772166121,210.416063479995
"ENSG00000003056",1332.97708367586,1448.58803350101,1711.11188731207,1712.96457311883
"ENSG00000003096",405.914361150515,376.07573946661,359.620475268416,379.341635569569
"ENSG00000003137",74.7463785238801,45.0005158336114,67.2606873943422,68.1629501414069
"ENSG00000003249",256.421604102755,222.859697461695,141.695848110748,119.532129958119
"ENSG00000003393",309.36695555717,285.003266946206,416.119452679664,399.099012422151
"ENSG00000003400",21.801027069465,23.5716987699869,11.6585191483527,4.93934421314543
"ENSG00000003402",382.03704578872,304.289202303468,198.194825521995,206.464588109479
"ENSG00000003509",171.293784117225,171.430536508996,175.774596390548,175.840653987977
"ENSG00000003756",485.85146040522,352.504040696623,364.104521094706,402.062618950038
"ENSG00000003987",6.22886487699001,4.2857634127249,4.48404582628948,4.93934421314543
"ENSG00000004059",1406.68531805358,1250.37147566249,1267.19135050941,1203.22425032223
"ENSG00000004139",26.99174780029,18.2144945040808,12.5553283136105,18.7695080099526
"ENSG00000004142",1872.81203968166,1973.59405155981,2369.36981461136,2234.55932202699
"ENSG00000004455",1808.44710261943,2150.38179233472,2532.5890826883,2514.12620449102
"ENSG00000004478",1731.62443580322,2078.59525517157,2799.83821393515,2736.39669408257
"ENSG00000004487",3266.00148383509,3159.67907603143,2787.28288562154,2443.98751666436
"ENSG00000004534",464.050433335755,452.148040042477,491.451422561327,466.274093720928
"ENSG00000004660",432.906108950805,411.43328762159,449.301391794206,342.790488392293
"ENSG00000004700",599.009172337206,678.222060063715,678.884538100227,683.605239099327
"ENSG00000004766",233.582432887125,227.145460874419,193.710779695706,219.306883063657
"ENSG00000004776",2.07628829233,1.07144085318122,5.38085499154738,3.95147537051634
"ENSG00000004777",56.05978389291,51.4291609526988,45.7372674281527,45.4419667609379
"ENSG00000004779",617.695766968176,695.365113714614,741.66117966828,754.731795768621
"ENSG00000004838",16.61030633864,5.35720426590612,1.79361833051579,0.987868842629085
"ENSG00000004864",630.153496722156,708.222403952789,734.486706346217,676.690157200924
"ENSG00000004866",213.85769410999,229.288342580782,252.003375437469,260.797374454079
"ENSG00000004897",763.035947431276,890.367348993597,932.681531868212,869.324581513595
"ENSG00000004961",286.52778434154,324.646578513911,393.699223548216,429.722946543652
"ENSG00000004975",588.627730875556,625.721458257835,564.092964947217,565.060977983837
"ENSG00000005001",65.4030812083951,43.9290749804302,39.4596032713474,60.2599994003742
"ENSG00000005007",1737.85330068021,1941.45082596438,2205.25373736917,2267.15899383375
"ENSG00000005020",429.79167651231,427.504900419308,448.404582628948,428.735077701023
